date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:40:32	3580/3580	---M-Z	200	added ('OK')	text/css	etag:%2253216af-dfc-5a02dcb0cdb69-gzip%22	http://www.himalayan.com/wp-content/themes/sportclub/assets/css/lightbox.css	D:/himalyan/himalyan/www.himalayan.com/wp-content/themes/sportclub/assets/css/lightbox.css	(from http://www.himalayan.com/)
16:40:36	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	D:/himalyan/himalyan/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from http://www.himalayan.com/)
16:40:38	35973/35973	---M-Z	200	added ('OK')	text/css	etag:W/%22620cd700-8c85%22	https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css	D:/himalyan/himalyan/code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css	(from http://www.himalayan.com/)
16:40:38	29271/29271	---M-Z	200	added ('OK')	text/css	etag:%2253214e8-7257-5bffc79aa89a1-gzip%22	http://www.himalayan.com/wp-includes/css/dist/block-library/style.min.css?ver=5.2.15	D:/himalyan/himalyan/www.himalayan.com/wp-includes/css/dist/block-library/style.min2050.css	(from http://www.himalayan.com/)
16:40:38	1645/1645	---M-Z	200	added ('OK')	text/css	etag:%225322434-66d-5a02dcb0e3ee2-gzip%22	http://www.himalayan.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.6	D:/himalyan/himalyan/www.himalayan.com/wp-content/plugins/contact-form-7/includes/css/stylesb62d.css	(from http://www.himalayan.com/)
16:40:39	0/0	---M--	200	added ('OK')	application/javascript	etag:%2253215ab-0-5a02dcb0ceb09%22	http://www.himalayan.com/wp-content/themes/sportclub/assets/js/simple-ajax-example.js?ver=5.2.15	D:/himalyan/himalyan/www.himalayan.com/wp-content/themes/sportclub/assets/js/simple-ajax-example.f2050.delayed	(from http://www.himalayan.com/)
16:40:39	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%22532136b-2748-5a02dcb0c5e69-gzip%22	http://www.himalayan.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	D:/himalyan/himalyan/www.himalayan.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://www.himalayan.com/)
16:40:40	96873/96873	---M-Z	200	added ('OK')	application/javascript	etag:%22532139c-17a69-5a02dcb0c5e69-gzip%22	http://www.himalayan.com/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	D:/himalyan/himalyan/www.himalayan.com/wp-includes/js/jquery/jquery4a5f.js	(from http://www.himalayan.com/)
16:40:41	864/864	---M-Z	200	added ('OK')	text/xml	date:Sat,%2030%20Jul%202022%2011:10:40%20GMT	http://www.himalayan.com/xmlrpc.php?rsd	D:/himalyan/himalyan/www.himalayan.com/xmlrpc0db0.php	(from http://www.himalayan.com/)
16:40:41	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%225321170-415-5a02dcb0c75d9-gzip%22	http://www.himalayan.com/wp-includes/wlwmanifest.xml	D:/himalyan/himalyan/www.himalayan.com/wp-includes/wlwmanifest.xml	(from http://www.himalayan.com/)
16:40:42	2206/2206	---MC-	200	added ('OK')	application/json	date:Sat,%2030%20Jul%202022%2011:10:41%20GMT	http://www.himalayan.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.himalayan.com%2F	D:/himalyan/himalyan/www.himalayan.com/wp-json/oembed/1.0/embedc4c1.json	(from http://www.himalayan.com/)
16:40:43	2305/2305	---M-Z	200	added ('OK')	text/xml	date:Sat,%2030%20Jul%202022%2011:10:41%20GMT	http://www.himalayan.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.himalayan.com%2F&format=xml	D:/himalyan/himalyan/www.himalayan.com/wp-json/oembed/1.0/embedb055	(from http://www.himalayan.com/)
16:40:44	4840/4840	---M--	200	added ('OK')	image/png	etag:%225321b11-12e8-5a02dcb0d0661%22	http://www.himalayan.com/wp-content/uploads/2020/03/logo.png	D:/himalyan/himalyan/www.himalayan.com/wp-content/uploads/2020/03/logo.png	(from http://www.himalayan.com/)
16:40:44	40354/40354	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:10:43%20GMT	http://www.himalayan.com/president-message/	D:/himalyan/himalyan/www.himalayan.com/president-message/index.html	(from http://www.himalayan.com/)
16:40:45	41138/41138	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:10:44%20GMT	http://www.himalayan.com/glorious-past/	D:/himalyan/himalyan/www.himalayan.com/glorious-past/index.html	(from http://www.himalayan.com/)
16:40:46	52590/52590	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:10:44%20GMT	http://www.himalayan.com/committee-members/	D:/himalyan/himalyan/www.himalayan.com/committee-members/index.html	(from http://www.himalayan.com/)
16:40:51	77767/77767	---MC-	200	added ('OK')	application/json	date:Sat,%2030%20Jul%202022%2011:10:40%20GMT	http://www.himalayan.com/wp-json/	D:/himalyan/himalyan/www.himalayan.com/wp-json/index.html	(from http://www.himalayan.com/)
16:40:53	45581/45581	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:10:51%20GMT	http://www.himalayan.com/gallery/	D:/himalyan/himalyan/www.himalayan.com/gallery/index.html	(from http://www.himalayan.com/)
16:47:43	2571511/2571511	---M--	200	added ('OK')	application/pdf	etag:%22532232a-273cf7-5caecdbf254e1%22	http://www.himalayan.com/wp-content/uploads/2021/09/Notice-For-the-58th-Annual-General-Meeting.pdf	D:/himalyan/himalyan/www.himalayan.com/wp-content/uploads/2021/09/Notice-For-the-58th-Annual-General-Meeting.pdf	(from http://www.himalayan.com/)
16:49:25	622211/622211	---M--	200	added ('OK')	application/pdf	etag:%225322343-97e83-5cbdef5a5e079%22	http://www.himalayan.com/wp-content/uploads/2021/09/Nominations-for-Directorship-at-58th-AGM-to-be-held-on-27th-September-2021.pdf	D:/himalyan/himalyan/www.himalayan.com/wp-content/uploads/2021/09/Nominations-for-Directorship-at-58th-AGM-to-be-held-on-27th-September-2021.pdf	(from http://www.himalayan.com/)
16:50:02	42627/42627	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:20:01%20GMT	http://www.himalayan.com/club-activities/aqua-point/	D:/himalyan/himalyan/www.himalayan.com/club-activities/aqua-point/index.html	(from http://www.himalayan.com/)
16:50:09	274632/274632	---M--	200	added ('OK')	image/jpeg	etag:%225321a37-430c8-5a02dcb0d19e9%22	http://www.himalayan.com/wp-content/uploads/2020/02/IMG_4561.jpg	D:/himalyan/himalyan/www.himalayan.com/wp-content/uploads/2020/02/IMG_4561.jpg	(from http://www.himalayan.com/)
16:50:09	40924/40924	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:20:08%20GMT	http://www.himalayan.com/club-activities/badminton/	D:/himalyan/himalyan/www.himalayan.com/club-activities/badminton/index.html	(from http://www.himalayan.com/)
16:50:10	886/886	---M--	200	added ('OK')	image/png	etag:%225321697-376-5a02dcb0ceef1%22	http://www.himalayan.com/wp-content/themes/sportclub/assets/images/slidermouse.png	D:/himalyan/himalyan/www.himalayan.com/wp-content/themes/sportclub/assets/images/slidermouse.png	(from http://www.himalayan.com/)
16:50:11	41141/41141	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:20:10%20GMT	http://www.himalayan.com/club-activities/billiards/	D:/himalyan/himalyan/www.himalayan.com/club-activities/billiards/index.html	(from http://www.himalayan.com/)
16:50:11	126/126	---M--	200	added ('OK')	image/png	etag:%22532167f-7e-5a02dcb0ceef1%22	http://www.himalayan.com/wp-content/themes/sportclub/assets/images/arrow-right.png	D:/himalyan/himalyan/www.himalayan.com/wp-content/themes/sportclub/assets/images/arrow-right.png	(from http://www.himalayan.com/)
16:50:12	44829/44829	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:20:11%20GMT	http://www.himalayan.com/club-activities/body-zone/	D:/himalyan/himalyan/www.himalayan.com/club-activities/body-zone/index.html	(from http://www.himalayan.com/)
16:50:47	40869/40869	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:20:45%20GMT	http://www.himalayan.com/club-activities/card-room/	D:/himalyan/himalyan/www.himalayan.com/club-activities/card-room/index.html	(from http://www.himalayan.com/)
16:51:31	274356/274356	---M--	200	added ('OK')	image/png	etag:%225321d88-42fb4-5a02dcb0d9ad2%22	http://www.himalayan.com/wp-content/uploads/2019/08/lawn_img.png	D:/himalyan/himalyan/www.himalayan.com/wp-content/uploads/2019/08/lawn_img.png	(from http://www.himalayan.com/)
16:51:32	39614/39614	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:21:31%20GMT	http://www.himalayan.com/club-activities/cricket/	D:/himalyan/himalyan/www.himalayan.com/club-activities/cricket/index.html	(from http://www.himalayan.com/)
16:52:03	42342/42342	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:22:02%20GMT	http://www.himalayan.com/club-activities/home-theatre/	D:/himalyan/himalyan/www.himalayan.com/club-activities/home-theatre/index.html	(from http://www.himalayan.com/)
16:52:05	6950/6950	---M--	200	added ('OK')	image/png	etag:%225321657-1b26-5a02dcb0cf2d9%22	http://www.himalayan.com/wp-content/themes/sportclub/assets/images/sp_bg.png	D:/himalyan/himalyan/www.himalayan.com/wp-content/themes/sportclub/assets/images/sp_bg.png	(from http://www.himalayan.com/)
16:52:06	40421/40421	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:22:05%20GMT	http://www.himalayan.com/club-activities/table-tennis/	D:/himalyan/himalyan/www.himalayan.com/club-activities/table-tennis/index.html	(from http://www.himalayan.com/)
16:52:23	108183/108183	---M--	200	added ('OK')	image/png	etag:%225321d6c-1a697-5a02dcb0d7f7a%22	http://www.himalayan.com/wp-content/uploads/2019/08/aquapoint-300x225.png	D:/himalyan/himalyan/www.himalayan.com/wp-content/uploads/2019/08/aquapoint-300x225.png	(from http://www.himalayan.com/)
16:52:24	40214/40214	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:22:23%20GMT	http://www.himalayan.com/club-activities/squash/	D:/himalyan/himalyan/www.himalayan.com/club-activities/squash/index.html	(from http://www.himalayan.com/)
16:52:25	125/125	---M--	200	added ('OK')	image/png	etag:%22532166a-7d-5a02dcb0cf2d9%22	http://www.himalayan.com/wp-content/themes/sportclub/assets/images/arrow-white.png	D:/himalyan/himalyan/www.himalayan.com/wp-content/themes/sportclub/assets/images/arrow-white.png	(from http://www.himalayan.com/)
16:52:25	38910/38910	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:22:24%20GMT	http://www.himalayan.com/club-activities/music/	D:/himalyan/himalyan/www.himalayan.com/club-activities/music/index.html	(from http://www.himalayan.com/)
16:52:48	141181/141181	---M--	200	added ('OK')	image/png	etag:%225321dd2-2277d-5a02dcb0da2a2%22	http://www.himalayan.com/wp-content/uploads/2019/08/badminton-1-300x200.png	D:/himalyan/himalyan/www.himalayan.com/wp-content/uploads/2019/08/badminton-1-300x200.png	(from http://www.himalayan.com/)
16:52:49	43317/43317	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:22:48%20GMT	http://www.himalayan.com/facilities/accomodation/	D:/himalyan/himalyan/www.himalayan.com/facilities/accomodation/index.html	(from http://www.himalayan.com/)
16:53:06	104645/104645	---M--	200	added ('OK')	image/png	etag:%225321d2c-198c5-5a02dcb0d77aa%22	http://www.himalayan.com/wp-content/uploads/2019/08/billiards-300x200.png	D:/himalyan/himalyan/www.himalayan.com/wp-content/uploads/2019/08/billiards-300x200.png	(from http://www.himalayan.com/)
16:53:07	41431/41431	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:23:06%20GMT	http://www.himalayan.com/facilities/banquet-multipurpose-hall/	D:/himalyan/himalyan/www.himalayan.com/facilities/banquet-multipurpose-hall/index.html	(from http://www.himalayan.com/)
16:53:24	100411/100411	---M--	200	added ('OK')	image/png	etag:%225321d0c-1883b-5a02dcb0d9302%22	http://www.himalayan.com/wp-content/uploads/2019/08/bodyzone-300x200.png	D:/himalyan/himalyan/www.himalayan.com/wp-content/uploads/2019/08/bodyzone-300x200.png	(from http://www.himalayan.com/)
16:53:24	41139/41139	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:23:23%20GMT	http://www.himalayan.com/facilities/food-and-beverages/	D:/himalyan/himalyan/www.himalayan.com/facilities/food-and-beverages/index.html	(from http://www.himalayan.com/)
16:53:45	123635/123635	---M--	200	added ('OK')	image/png	etag:%225321d66-1e2f3-5a02dcb0d874a%22	http://www.himalayan.com/wp-content/uploads/2019/08/cardroom-300x200.png	D:/himalyan/himalyan/www.himalayan.com/wp-content/uploads/2019/08/cardroom-300x200.png	(from http://www.himalayan.com/)
16:53:46	40123/40123	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:23:45%20GMT	http://www.himalayan.com/facilities/lawn/	D:/himalyan/himalyan/www.himalayan.com/facilities/lawn/index.html	(from http://www.himalayan.com/)
16:54:00	83227/83227	---M--	200	added ('OK')	image/png	etag:%225321d25-1451b-5a02dcb0d874a%22	http://www.himalayan.com/wp-content/uploads/2019/08/cricket-300x200.png	D:/himalyan/himalyan/www.himalayan.com/wp-content/uploads/2019/08/cricket-300x200.png	(from http://www.himalayan.com/)
16:54:01	39681/39681	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:24:00%20GMT	http://www.himalayan.com/facilities/library/	D:/himalyan/himalyan/www.himalayan.com/facilities/library/index.html	(from http://www.himalayan.com/)
16:54:08	817714/817714	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:24:04%20GMT	http://www.himalayan.com/book-list/	D:/himalyan/himalyan/www.himalayan.com/book-list/index.html	(from http://www.himalayan.com/)
16:54:10	10719/10719	---M--	200	added ('OK')	image/jpeg	etag:%225321de6-29df-5a02dcb0d9eba%22	http://www.himalayan.com/wp-content/uploads/2019/08/open-air-theatre-300x175.jpg	D:/himalyan/himalyan/www.himalayan.com/wp-content/uploads/2019/08/open-air-theatre-300x175.jpg	(from http://www.himalayan.com/)
16:54:10	39404/39404	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:24:09%20GMT	http://www.himalayan.com/club-activities/open-air-theatre/	D:/himalyan/himalyan/www.himalayan.com/club-activities/open-air-theatre/index.html	(from http://www.himalayan.com/)
16:54:16	82343/82343	---M--	200	added ('OK')	image/png	etag:%225321b60-141a7-5a02dcb0dae5a%22	http://www.himalayan.com/wp-content/uploads/2019/08/hometheatre-300x200.png	D:/himalyan/himalyan/www.himalayan.com/wp-content/uploads/2019/08/hometheatre-300x200.png	(from http://www.himalayan.com/)
16:54:16	39582/39582	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:24:15%20GMT	http://www.himalayan.com/membership/about-membership/	D:/himalyan/himalyan/www.himalayan.com/membership/about-membership/index.html	(from http://www.himalayan.com/)
16:54:19	14803/14803	---M--	200	added ('OK')	image/jpeg	etag:%225321ae7-39d3-5a02dcb0d5c52%22	http://www.himalayan.com/wp-content/uploads/2020/01/IMG_0403-300x200.jpg	D:/himalyan/himalyan/www.himalayan.com/wp-content/uploads/2020/01/IMG_0403-300x200.jpg	(from http://www.himalayan.com/)
16:54:20	38209/38209	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:24:19%20GMT	http://www.himalayan.com/membership/membership-fees/	D:/himalyan/himalyan/www.himalayan.com/membership/membership-fees/index.html	(from http://www.himalayan.com/)
16:54:24	82858/82858	---M--	200	added ('OK')	image/png	etag:%225321d22-143aa-5a02dcb0d9eba%22	http://www.himalayan.com/wp-content/uploads/2019/08/tabletennis-300x200.png	D:/himalyan/himalyan/www.himalayan.com/wp-content/uploads/2019/08/tabletennis-300x200.png	(from http://www.himalayan.com/)
16:54:25	40137/40137	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:24:24%20GMT	http://www.himalayan.com/membership/institutional-membership/	D:/himalyan/himalyan/www.himalayan.com/membership/institutional-membership/index.html	(from http://www.himalayan.com/)
16:55:09	302997/302997	---M--	200	added ('OK')	image/jpeg	etag:%225321ae8-49f95-5a02dcb0d5c52%22	http://www.himalayan.com/wp-content/uploads/2020/01/IMG_7271-1.jpg	D:/himalyan/himalyan/www.himalayan.com/wp-content/uploads/2020/01/IMG_7271-1.jpg	(from http://www.himalayan.com/)
16:55:10	39274/39274	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:25:09%20GMT	http://www.himalayan.com/membership/life-membership/	D:/himalyan/himalyan/www.himalayan.com/membership/life-membership/index.html	(from http://www.himalayan.com/)
16:55:50	40201/40201	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:25:49%20GMT	http://www.himalayan.com/membership/other-membership/	D:/himalyan/himalyan/www.himalayan.com/membership/other-membership/index.html	(from http://www.himalayan.com/)
16:56:36	41229/41229	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:26:35%20GMT	http://www.himalayan.com/membership/ordinary-membership/	D:/himalyan/himalyan/www.himalayan.com/membership/ordinary-membership/index.html	(from http://www.himalayan.com/)
16:56:54	913005/913005	---M--	200	added ('OK')	image/png	etag:%225321b1a-dee6d-5a02dcb0d680a%22	http://www.himalayan.com/wp-content/uploads/2019/09/home_dining.png	D:/himalyan/himalyan/www.himalayan.com/wp-content/uploads/2019/09/home_dining.png	(from http://www.himalayan.com/)
16:56:54	39718/39718	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:26:53%20GMT	http://www.himalayan.com/membership/provisional-membership/	D:/himalyan/himalyan/www.himalayan.com/membership/provisional-membership/index.html	(from http://www.himalayan.com/)
16:57:47	325564/325564	---M--	200	added ('OK')	image/jpeg	etag:%225321aca-4f7bc-5a02dcb0d603a%22	http://www.himalayan.com/wp-content/uploads/2020/01/20-central-sit-out.jpg	D:/himalyan/himalyan/www.himalayan.com/wp-content/uploads/2020/01/20-central-sit-out.jpg	(from http://www.himalayan.com/)
16:57:48	38251/38251	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:27:47%20GMT	http://www.himalayan.com/membership/new-unit-membership/	D:/himalyan/himalyan/www.himalayan.com/membership/new-unit-membership/index.html	(from http://www.himalayan.com/)
16:57:58	501566/501566	---M--	200	added ('OK')	image/jpeg	etag:%225321aba-7a73e-5a02dcb0d603a%22	http://www.himalayan.com/wp-content/uploads/2020/01/DSC_2873.jpg	D:/himalyan/himalyan/www.himalayan.com/wp-content/uploads/2020/01/DSC_2873.jpg	(from http://www.himalayan.com/)
16:57:59	44653/44653	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:27:58%20GMT	http://www.himalayan.com/inquiry-form/	D:/himalyan/himalyan/www.himalayan.com/inquiry-form/index.html	(from http://www.himalayan.com/)
16:58:01	177679/177679	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:28:00%20GMT	http://www.himalayan.com/associated-clubs/	D:/himalyan/himalyan/www.himalayan.com/associated-clubs/index.html	(from http://www.himalayan.com/)
16:58:30	249788/249788	---M--	200	added ('OK')	image/jpeg	etag:%225321cc1-3cfbc-5a02dcb0d8b32%22	http://www.himalayan.com/wp-content/uploads/2019/08/gallery-1-big.jpg	D:/himalyan/himalyan/www.himalayan.com/wp-content/uploads/2019/08/gallery-1-big.jpg	(from http://www.himalayan.com/)
16:58:30	37878/37878	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:28:29%20GMT	http://www.himalayan.com/new-events/	D:/himalyan/himalyan/www.himalayan.com/new-events/index.html	(from http://www.himalayan.com/)
16:58:45	121319/121319	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:28:44%20GMT	http://www.himalayan.com/news/	D:/himalyan/himalyan/www.himalayan.com/news/index.html	(from http://www.himalayan.com/)
16:58:47	287429/287429	---M--	200	added ('OK')	image/jpeg	etag:%225321bb9-462c5-5a02dcb0d8f1a%22	http://www.himalayan.com/wp-content/uploads/2019/08/gallery-17-big.jpg	D:/himalyan/himalyan/www.himalayan.com/wp-content/uploads/2019/08/gallery-17-big.jpg	(from http://www.himalayan.com/)
16:58:48	41688/41688	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:28:47%20GMT	http://www.himalayan.com/contact-us/	D:/himalyan/himalyan/www.himalayan.com/contact-us/index.html	(from http://www.himalayan.com/)
16:59:23	214291/214291	---M--	200	added ('OK')	image/jpeg	etag:%225321e1b-34513-5a02dcb0d8362%22	http://www.himalayan.com/wp-content/uploads/2019/08/gallery-8-big.jpg	D:/himalyan/himalyan/www.himalayan.com/wp-content/uploads/2019/08/gallery-8-big.jpg	(from http://www.himalayan.com/)
16:59:23	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Jul%202022%2011:29:22%20GMT	http://www.himalayan.com/facilities/dining/	D:/himalyan/himalyan/www.himalayan.com/facilities/dining/index.html	(from http://www.himalayan.com/)
16:59:24	3185/3185	---M--	200	added ('OK')	image/png	etag:%225322565-c71-5b3e7cfb01877%22	http://www.himalayan.com/wp-content/uploads/2020/11/faa-1.png	D:/himalyan/himalyan/www.himalayan.com/wp-content/uploads/2020/11/faa-1.png	(from http://www.himalayan.com/)
16:59:25	4388/4388	---M--	200	added ('OK')	image/png	etag:%225322566-1124-5b3e7d02c8062%22	http://www.himalayan.com/wp-content/uploads/2020/11/in-1.png	D:/himalyan/himalyan/www.himalayan.com/wp-content/uploads/2020/11/in-1.png	(from http://www.himalayan.com/)
16:59:28	266741/266741	---M--	200	added ('OK')	image/jpeg	etag:%225321b9d-411f5-5a02dcb0d73c2%22	http://www.himalayan.com/wp-content/uploads/2019/08/gallery-2-big.jpg	D:/himalyan/himalyan/www.himalayan.com/wp-content/uploads/2019/08/gallery-2-big.jpg	(from http://www.himalayan.com/)
16:59:29	40069/40069	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:29:28%20GMT	http://www.himalayan.com/terms-conditions/	D:/himalyan/himalyan/www.himalayan.com/terms-conditions/index.html	(from http://www.himalayan.com/)
16:59:29	26425/26425	---M--	200	added ('OK')	image/png	etag:%225321656-6739-5b7492551aba1%22	http://www.himalayan.com/wp-content/uploads/2020/12/footer_bg.png	D:/himalyan/himalyan/www.himalayan.com/wp-content/uploads/2020/12/footer_bg.png	(from http://www.himalayan.com/)
16:59:30	14440/14440	---M-Z	200	added ('OK')	application/javascript	etag:%22532241e-3868-5a02dcb0e42ca-gzip%22	http://www.himalayan.com/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=5.1.6	D:/himalyan/himalyan/www.himalayan.com/wp-content/plugins/contact-form-7/includes/js/scriptsb62d.js	(from http://www.himalayan.com/)
16:59:30	38846/38846	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202022%2011:29:29%20GMT	http://www.himalayan.com/privacy-policy/	D:/himalyan/himalyan/www.himalayan.com/privacy-policy/index.html	(from http://www.himalayan.com/)
16:59:31	1391/1391	---M-Z	200	added ('OK')	application/javascript	etag:%22532134a-56f-5bffc7a180d0d-gzip%22	http://www.himalayan.com/wp-includes/js/wp-embed.min.js?ver=5.2.15	D:/himalyan/himalyan/www.himalayan.com/wp-includes/js/wp-embed.min2050.js	(from http://www.himalayan.com/)
16:59:31	884/884	---MC-	200	added ('OK')	text/javascript	date:Sat,%2030%20Jul%202022%2011:29:30%20GMT	https://www.google.com/recaptcha/api.js?render=6Lc0P98UAAAAALBuFNluSQjzcj0qhBJS8QdSq2Ci&ver=3.0	D:/himalyan/himalyan/www.google.com/recaptcha/api6dd8.js	(from http://www.himalayan.com/)
16:59:32	384773/384773	---M--	200	added ('OK')	image/jpeg	etag:%225321b7e-5df05-5a02dcb0da68a%22	http://www.himalayan.com/wp-content/uploads/2019/08/gallery-4-big.jpg	D:/himalyan/himalyan/www.himalayan.com/wp-content/uploads/2019/08/gallery-4-big.jpg	(from http://www.himalayan.com/)
